transaction_id,organization_id,organization_name,user_id,date,amount,currency,vendor_id,vendor_name,category,payment_method,description,invoice_number,tax_amount,anomaly_flag,fraud_score,risk_score,risk_level,duplicate_flag,missing_invoice_flag,unusual_vendor_flag,weekend_or_odd_time_flag,vendor_risk_score,user_tenure_days,previous_txn_count,approval_status,source_file_id
55ece3e8-c0cd-4dfa-9ba8-8e4631671c7c,c087c8e5-df32-48c7-a7b8-7242d24c5934,"Mcclain, Miller and Henderson",a5f2def9-ef58-4d3f-9899-8d16d1b1503a,2025-10-18 19:51:46,2971.18,EUR,fae02880-cfad-4d72-90f7-4aae2d707ffc,Spence PLC,Software,Paypal,Realigned radical functionalities,INV-665158,297.12,0,0.19,8.6,Low,0,0,0,1,0.36,1580,0,Approved,2a08bf0f-db93-4565-9a75-a8d1a320120b
75e572d4-2e54-4211-b9fd-fda83f2b1482,768a9a30-d1e5-443b-86c4-096cb9b7a733,Wagner Inc,e9df9862-c4a7-4f2c-92d4-6e7b55bb0d3e,2026-01-13 20:47:43,1574.57,EUR,8c74e4fd-0511-41a1-8635-03f7fdf201a5,"Huff, Novak and House",Software,Paypal,Organic reciprocal success,INV-930555,314.91,0,0.03,1.2,Low,0,0,0,0,0.62,3579,4,Approved,90ed2341-983f-481a-8837-ba39acd29f8e
57329947-fc56-43e9-8014-a5c3810e3095,64151abe-5215-4abd-831f-44c47301498d,"Henderson, Ramirez and Lewis",dbc61a71-ec0c-48f5-b53b-e62ae5e8c082,2026-03-07 23:35:12,3455.38,USD,87ecb8b6-f62b-4496-a1c2-9fe136d5c933,"Lawson, Morris and Ramos",Equipment,Bank Transfer,Profit-focused interactive neural-net,INV-663054,345.54,0,0.17,7.8,Low,0,0,0,1,0.32,2970,0,Approved,c3358783-5205-4f1b-afc0-51b3949e0efd
a0f5a4e0-4a1f-4e20-b3f7-b06f1a0a60df,768a9a30-d1e5-443b-86c4-096cb9b7a733,Wagner Inc,2d5935e0-2a45-4096-aee9-e6293428f0f7,2025-09-15 17:34:15,8291.86,EUR,8c74e4fd-0511-41a1-8635-03f7fdf201a5,"Huff, Novak and House",Equipment,Credit Card,Diverse value-added leverage,INV-287330,0.0,0,0.29,11.6,Low,0,0,0,0,0.62,1586,2,Approved,67d6f1ce-9f2a-4abe-b9b1-afde110b3a30
7376e183-43e8-4db9-8236-8839461f33c8,c087c8e5-df32-48c7-a7b8-7242d24c5934,"Mcclain, Miller and Henderson",9b4b1477-a912-411a-8c2e-4bea60fc45a1,2025-09-17 08:18:33,1430.6,EUR,935f902e-89cd-467e-aed3-b694e0ff5fb6,Romero Inc,Equipment,Cash,Fundamental web-enabled encryption,,0.0,0,0.23,12.2,Low,0,1,0,0,0.22,541,7,Approved,75f333fa-838a-4734-92ea-e5e8ceb26d67
ca5b5d49-9b36-46b2-81b4-1179d57f7141,c087c8e5-df32-48c7-a7b8-7242d24c5934,"Mcclain, Miller and Henderson",965259ec-28de-4aca-b269-bb586ba67547,2026-02-15 17:26:40,1430.62,EUR,32c9c460-66ca-4f4e-aa26-7c0f49c5af3a,"Lynch, Hernandez and Farmer",Software,Credit Card,Sharable even-keeled throughput,INV-897549,71.53,0,0.28,12.2,Low,0,0,0,1,0.76,1911,3,Approved,7df2ab11-1fc8-4cee-9ee8-d5cb870279a3
af315070-5eb2-4684-a90c-c6a15d2c4707,768a9a30-d1e5-443b-86c4-096cb9b7a733,Wagner Inc,ae4111a7-e4bf-4a14-bd68-48728acb8861,2026-01-22 13:48:35,8771.06,EUR,9714240a-44a9-4caf-8b4c-90e61b5d5751,David PLC,Equipment,Paypal,Programmable mobile product,INV-426858,1754.21,0,0.06,2.4,Low,0,0,0,0,0.08,1168,6,Rejected,46673c01-5de6-45bf-bbd3-e37925dbddb3
a5f9eb89-9816-49e4-b302-fb168227eeac,64151abe-5215-4abd-831f-44c47301498d,"Henderson, Ramirez and Lewis",dbc61a71-ec0c-48f5-b53b-e62ae5e8c082,2025-06-27 11:17:17,3894.94,USD,5b525305-a880-49c7-b476-e6a2e24a8f13,Obrien-Dixon,Travel,Credit Card,Grass-roots leadingedge archive,INV-107540,0.0,0,0.02,0.8,Low,0,0,0,0,0.64,2970,5,Approved,bfe5ef77-a5c1-4d3f-8aa4-a60ecd47beab
23d920f0-c33a-4e71-a734-61a2473db7a4,591df090-dc9b-44e8-9c49-e7f4edd082b2,"Rodriguez, Figueroa and Sanchez",6234ff4b-5086-47b3-b3f6-e04c1e03d539,2025-12-28 16:04:30,1130.62,USD,644970b7-cb8a-441c-8bbc-45e7b968024c,"Flowers, Martin and Kelly",Software,Paypal,Horizontal disintermediate flexibility,INV-698782,226.12,0,0.07,3.8,Low,0,0,0,1,0.65,56,4,Approved,cc084af8-8861-481e-a86d-b006325b7760
526011af-dafc-4eef-846f-a612810e1e05,c087c8e5-df32-48c7-a7b8-7242d24c5934,"Mcclain, Miller and Henderson",965259ec-28de-4aca-b269-bb586ba67547,2025-08-03 23:40:51,3110.57,EUR,58755fdb-461d-4434-b8f5-5825d8dff265,Smith-Bowen,Equipment,Bank Transfer,Intuitive needs-based artificial intelligence,INV-785197,0.0,0,0.11,5.4,Low,0,0,0,1,0.28,1911,3,Approved,34547a65-b471-43d1-9e38-337012da56c2
eceb0e65-6cf6-4226-9a85-61969f8288fb,c087c8e5-df32-48c7-a7b8-7242d24c5934,"Mcclain, Miller and Henderson",a7a21d89-f044-4f8c-ae61-34b6d9b34fd5,2025-05-19 07:05:41,1137.49,EUR,32c9c460-66ca-4f4e-aa26-7c0f49c5af3a,"Lynch, Hernandez and Farmer",Consulting,Bank Transfer,Distributed discrete info-mediaries,INV-179046,227.5,0,0.04,1.6,Low,0,0,0,0,0.76,2226,5,Approved,9d7d7eef-05a3-4d97-b7cb-41d554754307
6f44cc7e-f8c7-40b0-bad8-9c2a06d522ec,591df090-dc9b-44e8-9c49-e7f4edd082b2,"Rodriguez, Figueroa and Sanchez",47337566-0ac4-4c85-a364-999af01da84a,2025-12-21 01:26:09,1134.87,USD,1954c511-8dac-46f1-b5d4-74b2b9145170,James LLC,Office Supplies,Paypal,Distributed tertiary data-warehouse,INV-324130,226.97,0,0.28,12.2,Low,0,0,0,1,0.03,2889,3,Approved,a662f5de-b07c-4a78-85a6-967a5b70f927
f650156a-9ef4-4c66-9235-6139ba7843b7,591df090-dc9b-44e8-9c49-e7f4edd082b2,"Rodriguez, Figueroa and Sanchez",61b8a588-eb40-403c-a08c-058cc2075ac5,2025-04-20 12:00:40,2302.99,USD,e305ca85-ace1-43e4-bd01-9d2ad9be2fa7,Wyatt Inc,Equipment,Credit Card,Operative incremental groupware,INV-921414,460.6,0,0.24,10.6,Low,0,0,0,1,0.2,683,6,Approved,c4978a6f-7ac8-4818-a1a7-0e67532d5794
5b0881e8-6cb3-4298-bde8-ab1aa4cfd1ef,591df090-dc9b-44e8-9c49-e7f4edd082b2,"Rodriguez, Figueroa and Sanchez",47337566-0ac4-4c85-a364-999af01da84a,2025-10-23 06:51:26,266.86,USD,09211fdc-06de-4e6e-a3cc-f850d9e783cf,Cameron-Parsons,Consulting,Bank Transfer,Persistent intangible approach,INV-656926,13.34,0,0.09,3.6,Low,0,0,0,0,0.59,2889,3,Approved,94588fa2-0b14-418c-b03c-bb4c6cdfe00e
